Fluid_lvl_tank102;Pressure_tank103;Pump_speed;Flowmeter;Tank102_set;Pressure_set;Flow_set;Fluid_lvl_tank101_IO_link;Fluid_lvl_tank102_IO_link;Fluid_lvl_MAX_tank101;Fluid_lvl_MIN_tank101;V101;V102;V103;V104;V106;V107;V108;V109;V112;Cycle_nuber;EStop;Work;State
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;147.94203;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;147.94203;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.93;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;148.19711;100.0;0.92;0.0;0.0;1.0;105;80;0;0;0;0;0;1;0;0;0;0;0;1;0;1;3
80.09615;147.94203;100.0;1.05;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
80.60096;148.19711;100.0;1.2;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
81.77885;147.94203;100.0;1.21;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
82.62019;147.94203;100.0;1.23;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
83.125;148.19711;100.0;1.22;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
83.125;148.19711;100.0;1.23;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
84.47115;148.19711;100.0;1.22;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
85.14423;148.19711;100.0;1.21;90.0;0.0;0.0;105;80;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
85.64904;147.94203;100.0;1.22;90.0;0.0;0.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
86.65865;148.19711;100.0;1.21;90.0;0.0;0.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
86.82693;148.19711;100.0;1.22;90.0;0.0;0.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
87.5;148.19711;100.0;1.22;90.0;0.0;0.0;100;85;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
88.67789;147.94203;100.0;1.22;90.0;0.0;0.0;100;90;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
89.18269;148.19711;100.0;1.22;90.0;0.0;0.0;95;90;0;0;1;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;1.21;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.85577;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.45218;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;147.94203;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.85577;147.94203;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
89.6875;148.19711;0.0;0.0;90.0;0.0;0.0;95;90;0;0;0;0;0;0;0;0;0;0;0;1;0;1;4
